Student,Grade,Attended,Total_lessons
1,Kindergarten,0,16
2,Kindergarten,3,16
3,Kindergarten,12,16
4,Kindergarten,4,16
5,Kindergarten,0,16
6,Kindergarten,13,16
7,1st,3,16
8,1st,11,16
9,1st,15,16
10,1st,2,16
11,1st,9,16
12,2nd,9,16
13,2nd,11,16
14,2nd,9,16
15,2nd,2,16
16,2nd,15,16
17,2nd,14,16
18,2nd,1,16
19,2nd,3,16
20,3rd,16,16
21,3rd,9,16
22,3rd,12,16
23,3rd,14,16
24,3rd,2,16
25,3rd,15,16
26,3rd,2,16
27,4th,4,16
28,4th,13,16
29,2nd,12,16
30,4th,16,16
31,4th,0,16
32,4th,0,16
33,4th,2,16
34,5th,2,16
35,5th,10,16
36,5th,9,16
37,5th,15,16
38,5th,2,16
39,6th,14,16
40,5th,11,16
